Scope,Mode,QQQ beta,QQQ band,SPY beta,SPY band,Name,Base CAGR,CAGR,CAGR Loss,Base Sharpe,Sharpe,Sharpe Loss,Base Max Drawdown,Max Drawdown,Max Drawdown Improvement,Turnover,Trade Count,Final Equity,Pass Sharpe,Pass CAGR,Candidate
SPY,,,,0.05,0.15,SPY beta=0.05 band=0.15,0.07173089935570154,0.0701252289122054,0.0016056704434961322,0.7488160994373855,0.748017423503623,0.0007986759337624827,-0.1551843666002508,-0.1506542779492731,0.004530088650977704,24.510996588494663,220,344378.03137197316,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.1,0.1,0.15,Portfolio equal_weight_full_capital qqq=0.00/0.10 spy=0.10/0.15,0.09000048081758605,0.08834896813290594,0.001651512684680112,0.8692790127340394,0.8683075679260395,0.0009714448079999327,-0.17842778244744828,-0.17404619716731706,0.004381585280131217,33.072336657909965,220,468637.0741746587,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.12,0.1,0.15,Portfolio equal_weight_full_capital qqq=0.00/0.12 spy=0.10/0.15,0.09000048081758605,0.08834896813290594,0.001651512684680112,0.8692790127340394,0.8683075679260395,0.0009714448079999327,-0.17842778244744828,-0.17404619716731706,0.004381585280131217,33.072336657909965,220,468637.0741746587,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.15,0.1,0.15,Portfolio equal_weight_full_capital qqq=0.00/0.15 spy=0.10/0.15,0.09000048081758605,0.08834896813290594,0.001651512684680112,0.8692790127340394,0.8683075679260395,0.0009714448079999327,-0.17842778244744828,-0.17404619716731706,0.004381585280131217,33.072336657909965,220,468637.0741746587,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.2,0.1,0.15,Portfolio equal_weight_full_capital qqq=0.00/0.20 spy=0.10/0.15,0.09000048081758605,0.08834896813290594,0.001651512684680112,0.8692790127340394,0.8683075679260395,0.0009714448079999327,-0.17842778244744828,-0.17404619716731706,0.004381585280131217,33.072336657909965,220,468637.0741746587,True,True,True
SPY,,,,0.05,0.12,SPY beta=0.05 band=0.12,0.07173089935570154,0.07003950815995541,0.001691391195746128,0.7488160994373855,0.7473197026034363,0.0014963968339491984,-0.1551843666002508,-0.15083687588746142,0.0043474907127893925,24.433904801411128,220,343875.0734702523,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.1,0.1,0.12,Portfolio equal_weight_full_capital qqq=0.00/0.10 spy=0.10/0.12,0.09000048081758605,0.08826173588529906,0.0017387449322869841,0.8692790127340394,0.867657264108082,0.001621748625957431,-0.17842778244744828,-0.17422070267795609,0.004207079769492195,33.025645151461866,220,467952.2324952684,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.12,0.1,0.12,Portfolio equal_weight_full_capital qqq=0.00/0.12 spy=0.10/0.12,0.09000048081758605,0.08826173588529906,0.0017387449322869841,0.8692790127340394,0.867657264108082,0.001621748625957431,-0.17842778244744828,-0.17422070267795609,0.004207079769492195,33.025645151461866,220,467952.2324952684,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.15,0.1,0.12,Portfolio equal_weight_full_capital qqq=0.00/0.15 spy=0.10/0.12,0.09000048081758605,0.08826173588529906,0.0017387449322869841,0.8692790127340394,0.867657264108082,0.001621748625957431,-0.17842778244744828,-0.17422070267795609,0.004207079769492195,33.025645151461866,220,467952.2324952684,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.2,0.1,0.12,Portfolio equal_weight_full_capital qqq=0.00/0.20 spy=0.10/0.12,0.09000048081758605,0.08826173588529906,0.0017387449322869841,0.8692790127340394,0.867657264108082,0.001621748625957431,-0.17842778244744828,-0.17422070267795609,0.004207079769492195,33.025645151461866,220,467952.2324952684,True,True,True
SPY,,,,0.05,0.1,SPY beta=0.05 band=0.10,0.07173089935570154,0.06996485172504507,0.0017660476306564643,0.7488160994373855,0.7466731102064043,0.002142989230981218,-0.1551843666002508,-0.15097755049684003,0.004206816103410782,24.374655040743516,220,343437.6000754137,True,True,True
Portfolio,config_weights,0.0,0.1,0.2,0.15,Portfolio config_weights qqq=0.00/0.10 spy=0.20/0.15,0.038791362946228425,0.037343971519649966,0.0014473914265784593,0.8692790127340393,0.865152871336016,0.004126141398023253,-0.07901604652486238,-0.07484591528150586,0.004170131243356523,13.393050225606249,220,195214.4024041557,True,True,True
Portfolio,config_weights,0.0,0.12,0.2,0.15,Portfolio config_weights qqq=0.00/0.12 spy=0.20/0.15,0.038791362946228425,0.037343971519649966,0.0014473914265784593,0.8692790127340393,0.865152871336016,0.004126141398023253,-0.07901604652486238,-0.07484591528150586,0.004170131243356523,13.393050225606249,220,195214.4024041557,True,True,True
Portfolio,config_weights,0.0,0.15,0.2,0.15,Portfolio config_weights qqq=0.00/0.15 spy=0.20/0.15,0.038791362946228425,0.037343971519649966,0.0014473914265784593,0.8692790127340393,0.865152871336016,0.004126141398023253,-0.07901604652486238,-0.07484591528150586,0.004170131243356523,13.393050225606249,220,195214.4024041557,True,True,True
Portfolio,config_weights,0.0,0.2,0.2,0.15,Portfolio config_weights qqq=0.00/0.20 spy=0.20/0.15,0.038791362946228425,0.037343971519649966,0.0014473914265784593,0.8692790127340393,0.865152871336016,0.004126141398023253,-0.07901604652486238,-0.07484591528150586,0.004170131243356523,13.393050225606249,220,195214.4024041557,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.1,0.1,0.1,Portfolio equal_weight_full_capital qqq=0.00/0.10 spy=0.10/0.10,0.09000048081758605,0.08818588568505747,0.0018145951325285736,0.8692790127340394,0.867060619605212,0.002218393128827434,-0.17842778244744828,-0.17435447727782516,0.00407330516962312,32.99546343133992,220,467357.51778768655,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.12,0.1,0.1,Portfolio equal_weight_full_capital qqq=0.00/0.12 spy=0.10/0.10,0.09000048081758605,0.08818588568505747,0.0018145951325285736,0.8692790127340394,0.867060619605212,0.002218393128827434,-0.17842778244744828,-0.17435447727782516,0.00407330516962312,32.99546343133992,220,467357.51778768655,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.15,0.1,0.1,Portfolio equal_weight_full_capital qqq=0.00/0.15 spy=0.10/0.10,0.09000048081758605,0.08818588568505747,0.0018145951325285736,0.8692790127340394,0.867060619605212,0.002218393128827434,-0.17842778244744828,-0.17435447727782516,0.00407330516962312,32.99546343133992,220,467357.51778768655,True,True,True
Portfolio,equal_weight_full_capital,0.0,0.2,0.1,0.1,Portfolio equal_weight_full_capital qqq=0.00/0.20 spy=0.10/0.10,0.09000048081758605,0.08818588568505747,0.0018145951325285736,0.8692790127340394,0.867060619605212,0.002218393128827434,-0.17842778244744828,-0.17435447727782516,0.00407330516962312,32.99546343133992,220,467357.51778768655,True,True,True
SPY,,,,0.05,0.08,SPY beta=0.05 band=0.08,0.07173089935570154,0.06987029914574605,0.0018606002099554875,0.7488160994373855,0.7458031746436962,0.003012924793689309,-0.1551843666002508,-0.1511239484648157,0.004060418135435118,24.31658588732882,219,342884.29381214455,True,True,True
Portfolio,config_weights,0.0,0.1,0.2,0.12,Portfolio config_weights qqq=0.00/0.10 spy=0.20/0.12,0.038791362946228425,0.037271681811882784,0.0015196811343456407,0.8692790127340393,0.8636374182120486,0.005641594521990645,-0.07901604652486238,-0.0750080288611582,0.0040080176637041776,13.386159642199221,220,194966.34661776686,True,True,True
Portfolio,config_weights,0.0,0.12,0.2,0.12,Portfolio config_weights qqq=0.00/0.12 spy=0.20/0.12,0.038791362946228425,0.037271681811882784,0.0015196811343456407,0.8692790127340393,0.8636374182120486,0.005641594521990645,-0.07901604652486238,-0.0750080288611582,0.0040080176637041776,13.386159642199221,220,194966.34661776686,True,True,True
Portfolio,config_weights,0.0,0.15,0.2,0.12,Portfolio config_weights qqq=0.00/0.15 spy=0.20/0.12,0.038791362946228425,0.037271681811882784,0.0015196811343456407,0.8692790127340393,0.8636374182120486,0.005641594521990645,-0.07901604652486238,-0.0750080288611582,0.0040080176637041776,13.386159642199221,220,194966.34661776686,True,True,True
